Country,code,ISTP,INTJ,ENTP,ESFP,ENTJ,ISFP,INFJ,INTP,ISTJ,ESTP,ENFJ,ISFJ,ENFP,INFP,ESFJ,ESTJ,ESTJ-A,ESFJ-A,INFP-T,ESFJ-T,ENFP-T,ENFP-A,ESTJ-T,ISFJ-T,ENFJ-A,ESTP-A,ISTJ-A,INTP-T,INFJ-T,ISFP-T,ENTJ-A,ESTP-T,ISTJ-T,ESFP-T,ENTP-A,ESFP-A,INTJ-T,ISFJ-A,INTP-A,ENTP-T,ISTP-T,ENTJ-T,ISTP-A,INFP-A,ENFJ-T,INTJ-A,ISFP-A,INFJ_A
Afghanistan,AFG,0.0434,0.0431,0.0495,0.0527,0.0511,0.046,0.0463,0.0549,0.0629,0.0652,0.0562,0.061,0.0796,0.0686,0.1006,0.1188,0.0798,0.0594,0.0482,0.0412,0.0406,0.039,0.039,0.0377,0.0364,0.0361,0.0348,0.0316,0.0313,0.0291,0.0291,0.0291,0.0281,0.0275,0.0268,0.0252,0.0249,0.0233,0.0233,0.0227,0.022,0.022,0.0214,0.0204,0.0198,0.0182,0.0169,0.015
Albania,ALB,0.0233,0.0604,0.0792,0.0405,0.0686,0.0334,0.0748,0.0754,0.0418,0.0381,0.0775,0.0449,0.1045,0.1045,0.0665,0.0667,0.0469,0.0399,0.0836,0.0266,0.0647,0.0398,0.0198,0.0286,0.0363,0.0239,0.0223,0.0481,0.0584,0.0226,0.0397,0.0142,0.0195,0.0207,0.0397,0.0198,0.0352,0.0163,0.0273,0.0395,0.0128,0.0289,0.0105,0.0209,0.0412,0.0252,0.0108,0.0164
Algeria,DZA,0.033,0.0896,0.0739,0.0279,0.0535,0.0377,0.08,0.141,0.032,0.0241,0.0556,0.0337,0.0857,0.1556,0.044,0.0327,0.023,0.0275,0.1218,0.0165,0.0523,0.0334,0.0097,0.0222,0.0262,0.0154,0.0162,0.0851,0.0583,0.0264,0.0343,0.0087,0.0158,0.0148,0.0433,0.0131,0.0492,0.0115,0.0559,0.0306,0.0157,0.0192,0.0173,0.0338,0.0294,0.0404,0.0113,0.0217
Andorra,AND,0.0186,0.0326,0.0372,0.0372,0.0465,0.0419,0.0791,0.0512,0.0279,0.0187,0.1163,0.0465,0.1767,0.1674,0.0651,0.0605,0.0512,0.0372,0.1023,0.0279,0.093,0.0837,0.0093,0.0279,0.0605,0.014,0.0186,0.0279,0.0372,0.0093,0.0279,0.0047,0.0093,0.0186,0.0093,0.0186,0.0186,0.0186,0.0233,0.0279,0.0093,0.0186,0.0093,0.0651,0.0558,0.014,0.0326,0.0419
Angola,AGO,0.0322,0.0466,0.0448,0.0547,0.0492,0.0403,0.0771,0.0564,0.0404,0.0368,0.0807,0.0717,0.0798,0.1112,0.1192,0.0592,0.0484,0.0905,0.0771,0.0287,0.0475,0.0323,0.0108,0.0394,0.0475,0.026,0.0323,0.0349,0.0457,0.0224,0.0358,0.0108,0.0081,0.0224,0.0233,0.0323,0.0197,0.0323,0.0215,0.0215,0.0116,0.0134,0.0206,0.0341,0.0332,0.0269,0.0179,0.0314
Antigua and Barbuda,ATG,0.0308,0.0328,0.047,0.0548,0.0279,0.0592,0.0848,0.0632,0.0431,0.0245,0.0632,0.0853,0.1092,0.1381,0.094,0.0421,0.0323,0.0661,0.1068,0.0279,0.0651,0.0441,0.0098,0.0451,0.0377,0.0162,0.0284,0.0382,0.0539,0.0357,0.0176,0.0083,0.0147,0.023,0.0225,0.0318,0.0201,0.0402,0.025,0.0245,0.0127,0.0103,0.0181,0.0313,0.0255,0.0127,0.0235,0.0309
Argentina,ARG,0.0255,0.0652,0.0544,0.0366,0.0309,0.0416,0.0884,0.106,0.0342,0.0174,0.0625,0.044,0.1338,0.1875,0.0476,0.0245,0.0159,0.027,0.151,0.0206,0.0822,0.0516,0.0086,0.0282,0.0275,0.0113,0.0177,0.0703,0.0689,0.0278,0.0161,0.0061,0.0165,0.0183,0.0257,0.0183,0.0387,0.0158,0.0357,0.0287,0.0148,0.0148,0.0107,0.0365,0.035,0.0265,0.0138,0.0195
Armenia,ARM,0.0197,0.069,0.0821,0.0262,0.0689,0.0268,0.0735,0.0839,0.0399,0.027,0.0792,0.0472,0.1057,0.1138,0.0629,0.074,0.0543,0.0401,0.0839,0.0228,0.0611,0.0446,0.0197,0.0254,0.0362,0.0176,0.0202,0.0506,0.0488,0.0163,0.0414,0.0094,0.0197,0.0131,0.0401,0.0131,0.0383,0.0218,0.0333,0.042,0.0076,0.0275,0.0121,0.0299,0.043,0.0307,0.0105,0.0247
Australia,AUS,0.0202,0.0273,0.0391,0.0587,0.0215,0.0583,0.0772,0.0478,0.0304,0.0212,0.0778,0.0826,0.1483,0.15,0.1038,0.0355,0.0256,0.0643,0.1222,0.0395,0.092,0.0563,0.0099,0.0534,0.0364,0.0139,0.0164,0.0304,0.0599,0.0401,0.0129,0.0073,0.014,0.0283,0.0207,0.0304,0.0151,0.0292,0.0174,0.0184,0.0104,0.0086,0.0098,0.0278,0.0414,0.0122,0.0182,0.0173
Austria,AUT,0.0221,0.0525,0.0657,0.0367,0.0347,0.0378,0.0809,0.0906,0.0334,0.0226,0.0664,0.046,0.1437,0.1732,0.0553,0.0384,0.0286,0.0333,0.1414,0.022,0.0844,0.0593,0.0098,0.0289,0.0305,0.0158,0.0193,0.0579,0.0632,0.0244,0.0219,0.0068,0.0141,0.0168,0.0373,0.0199,0.0288,0.0171,0.0327,0.0284,0.0108,0.0128,0.0113,0.0318,0.0359,0.0237,0.0134,0.0177
